SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,168 Atlantic Ave,Massapequa Park,NY,11762,479900,4,2,Massapequa Park,,6011,1951,101,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/168-Atlantic-Ave-11762/home/20342506,MLSLI,3128607,N,Y,40.6865642,-73.4427668
MLS Listing,,Single Family Residential,1501 Lakeshore Dr,Massapequa Park,NY,11762,569999,4,2.5,Massapequa Park,2110,8000,1956,102,270,,Active,August-25-2019 11:00 AM,August-25-2019 01:00 PM,http://www.redfin.com/NY/Massapequa-Park/1501-Lake-Shore-Dr-11762/home/19997180,MLSLI,3128173,N,Y,40.7017248,-73.4485673
MLS Listing,,Single Family Residential,145 Reiss Ave,Massapequa Park,NY,11762,469888,4,3,Massapequa Park,,8000,1950,114,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/145-Reiss-Ave-11762/home/20289411,MLSLI,3124549,N,Y,40.6689544,-73.4544596
MLS Listing,,Single Family Residential,7 Tyrconnell Ave,Massapequa,NY,11762,420000,3,1,Massapequa,1431,8400,1956,121,294,,Active,,,http://www.redfin.com/NY/Massapequa-Park/7-Tyrconnell-Ave-11762/home/20254511,BNYMLS,429307,N,Y,40.6762996,-73.4619169
MLS Listing,,Single Family Residential,82 Harbor Ln,Massapequa Park,NY,11762,929000,5,3.5,Bar Harbour,,10000,1954,121,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/82-Harbor-Ln-11762/home/20224402,MLSLI,3121926,N,Y,40.6611084,-73.4558176
MLS Listing,,Single Family Residential,225 Grand Blvd,Massapequa Park,NY,11762,434500,4,1,Massapequa Park,,6000,1951,133,,,Active,August-25-2019 02:30 PM,August-25-2019 04:30 PM,http://www.redfin.com/NY/Massapequa-Park/225-Grand-Blvd-11762/home/20340480,MLSLI,3118662,N,Y,40.6888717,-73.4427208
MLS Listing,,Single Family Residential,263 Philadelphia Ave,Massapequa Park,NY,11762,435000,4,1,Massapequa Park,,6000,1953,134,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/263-Philadelphia-Ave-11762/home/20340183,MLSLI,3118464,N,Y,40.6901857,-73.4395903
MLS Listing,,Single Family Residential,200 Ocean Ave,Massapequa Park,NY,11762,629000,4,3.5,Village,,7200,1954,145,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/200-Ocean-Ave-11762/home/20339615,MLSLI,3114278,N,Y,40.6878154,-73.4415699
MLS Listing,,Single Family Residential,14 Williams Dr,Massapequa Park,NY,11762,1110000,4,3,Bar Harbour,3566,10000,1970,148,311,,Active,,,http://www.redfin.com/NY/Massapequa-Park/14-Williams-Dr-11762/home/20226473,MLSLI,3113503,N,Y,40.6580749,-73.4502706
MLS Listing,,Single Family Residential,201 1st Ave,Massapequa Park,NY,11762,899000,5,3,Massapequa Park,3100,8075,2019,151,290,,Active,,,http://www.redfin.com/NY/Massapequa-Park/201-1st-Ave-11762/home/20340007,MLSLI,3112186,N,Y,40.6884236,-73.4464957
MLS Listing,,Single Family Residential,62 Skylark Rd,Massapequa Park,NY,11762,899000,5,3,Bar Harbour,,12510,1962,162,,,Active,August-25-2019 12:00 PM,August-25-2019 03:00 PM,http://www.redfin.com/NY/Massapequa-Park/62-Skylark-Rd-11762/home/20226412,MLSLI,3109289,N,Y,40.6556973,-73.4510301
MLS Listing,,Single Family Residential,10 Andrews Dr,Massapequa Park,NY,11762,799000,4,2.5,Bar Harbour,,10000,1967,175,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/10-Andrews-Dr-11762/home/20226509,MLSLI,3105389,N,Y,40.659418,-73.4510071
MLS Listing,,Single Family Residential,118 Thornwood Rd,Massapequa Park,NY,11762,639990,5,3,Bar Harbor,,11500,1954,400,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/118-Thornwood-Rd-11762/home/20227448,MLSLI,3050001,N,Y,40.658673,-73.4534239
MLS Listing,,Single Family Residential,92 Kings Walk,Massapequa Park,NY,11762,695000,4,2.5,Massapequa Park,,10000,1958,458,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/92-Kings-Walk-11762/home/20226973,MLSLI,3032645,N,Y,40.6601106,-73.4507309
